DATE,DFF
6/1/2012,0.161666667
7/1/2012,0.156451613
8/1/2012,0.132258065
9/1/2012,0.144333333
10/1/2012,0.158387097
11/1/2012,0.160666667
12/1/2012,0.164516129
1/1/2013,0.142580645
2/1/2013,0.145
3/1/2013,0.143548387
4/1/2013,0.145
5/1/2013,0.109032258
6/1/2013,0.093666667
7/1/2013,0.092580645
8/1/2013,0.082903226
9/1/2013,0.08
10/1/2013,0.087096774
11/1/2013,0.084333333
12/1/2013,0.08516129
1/1/2014,0.071612903
2/1/2014,0.066428571
3/1/2014,0.078064516
4/1/2014,0.090333333
5/1/2014,0.087096774
6/1/2014,0.095666667
7/1/2014,0.090967742
8/1/2014,0.088064516
9/1/2014,0.088333333
10/1/2014,0.089032258
11/1/2014,0.092
12/1/2014,0.122580645
1/1/2015,0.11483871
2/1/2015,0.110714286
3/1/2015,0.112903226
4/1/2015,0.124666667
5/1/2015,0.123225806
6/1/2015,0.129
7/1/2015,0.130322581
8/1/2015,0.138064516
9/1/2015,0.136
10/1/2015,0.123548387
11/1/2015,0.117666667
12/1/2015,0.240645161
1/1/2016,0.342903226
2/1/2016,0.375172414
3/1/2016,0.362258065
4/1/2016,0.365333333
5/1/2016,0.36516129
6/1/2016,0.377666667
7/1/2016,0.391612903
8/1/2016,0.396774194
9/1/2016,0.396333333
10/1/2016,0.396451613
11/1/2016,0.406666667
12/1/2016,0.54
1/1/2017,0.649677419
2/1/2017,0.656785714
3/1/2017,0.786129032
4/1/2017,0.896
5/1/2017,0.907419355
6/1/2017,1.04
7/1/2017,1.150645161
8/1/2017,1.157096774
9/1/2017,1.153333333
10/1/2017,1.153870968
11/1/2017,1.157
12/1/2017,1.301612903
1/1/2018,1.414516129
2/1/2018,1.4175
3/1/2018,1.506129032
4/1/2018,1.692333333
5/1/2018,1.7
6/1/2018,1.819666667
7/1/2018,1.91
8/1/2018,1.91483871
9/1/2018,1.954666667
10/1/2018,2.187741935
11/1/2018,2.197666667
12/1/2018,2.274193548
1/1/2019,2.4
2/1/2019,2.4
3/1/2019,2.40516129
4/1/2019,2.423666667
